jd,filter,fnu,efnu,flam,eflam,mag,emag,corrmag,date,wave,Llambda,Llambda_unc,mjd,tmax_of,absmag,eabsmag,redshift
2459707.83,r,0.000168043,-4.38E-06,1.27E-16,-3.31E-18,18.3365166,0.02865852,18.3365166,2022 5 8,6300,3.19E+38,-8.31E+36,59707.33021,32.3302083,-17.47021698,0.02865852,0.033
2459707.847,r,0.000179186,-4.15E-06,1.35E-16,-3.14E-18,18.26680627,0.025463594,18.26680627,2022 5 8,6300,3.40E+38,-7.89E+36,59707.34681,32.3468056,-17.53992732,0.025463594,0.033
2459707.867,r,0.00017003,-4.57E-06,1.29E-16,-3.45E-18,18.32375422,0.029549023,18.32375422,2022 5 8,6300,3.23E+38,-8.67E+36,59707.36652,32.3665162,-17.48297936,0.029549023,0.033
2459707.87,r,0.00016133,-5.30E-06,1.22E-16,-4.01E-18,18.38077768,0.036265014,18.38077768,2022 5 8,6300,3.06E+38,-1.01E+37,59707.36983,32.3698264,-17.42595591,0.036265014,0.033
2459709.81,r,0.000223847,-5.27E-06,1.69E-16,-3.98E-18,18.02518695,0.025850899,18.02518695,2022 5 10,6300,4.25E+38,-1.00E+37,59709.30995,34.3099537,-17.78154664,0.025850899,0.033
2459709.812,r,0.000200793,-5.67E-06,1.52E-16,-4.29E-18,18.14319614,0.031096739,18.14319614,2022 5 10,6300,3.81E+38,-1.08E+37,59709.31185,34.3118519,-17.66353745,0.031096739,0.033
2459709.824,r,0.00021247,-6.29E-06,1.61E-16,-4.75E-18,18.08182015,0.032605535,18.08182015,2022 5 10,6300,4.03E+38,-1.19E+37,59709.32352,34.3235185,-17.72491344,0.032605535,0.033
2459709.849,r,0.000218968,-5.48E-06,1.66E-16,-4.14E-18,18.04911295,0.027527144,18.04911295,2022 5 10,6300,4.16E+38,-1.04E+37,59709.34916,34.3491551,-17.75762063,0.027527144,0.033
2459709.885,r,0.000227612,-4.99E-06,1.72E-16,-3.77E-18,18.00707585,0.024080349,18.00707585,2022 5 10,6300,4.32E+38,-9.48E+36,59709.38524,34.3852431,-17.79965774,0.024080349,0.033
2459709.908,r,0.000230911,-5.94E-06,1.75E-16,-4.49E-18,17.99145599,0.028281547,17.99145599,2022 5 10,6300,4.38E+38,-1.13E+37,59709.40786,34.4078588,-17.8152776,0.028281547,0.033
2459710.822,g,0.000164506,-6.39E-06,2.14E-16,-8.33E-18,18.35960939,0.043046916,18.35960939,2022 5 11,4800,5.38E+38,-2.09E+37,59710.32207,35.3220718,-17.44712419,0.043046916,0.033
2459710.823,g,0.000174138,-5.22E-06,2.27E-16,-6.80E-18,18.29783129,0.033056342,18.29783129,2022 5 11,4800,5.70E+38,-1.71E+37,59710.32302,35.3230208,-17.50890229,0.033056342,0.033
2459711.717,g,0.000196545,-8.24E-06,2.56E-16,-1.07E-17,18.16641038,0.046489094,18.16641038,2022 5 12,4800,6.43E+38,-2.69E+37,59711.21671,36.216713,-17.64032321,0.046489094,0.033
2459711.746,g,0.00018043,-5.18E-06,2.35E-16,-6.74E-18,18.25929533,0.031615652,18.25929533,2022 5 12,4800,5.90E+38,-1.69E+37,59711.24557,36.2455671,-17.54743825,0.031615652,0.033
2459711.845,r,0.000241351,-8.90E-06,1.82E-16,-6.73E-18,17.94344488,0.040811883,17.94344488,2022 5 12,6300,4.58E+38,-1.69E+37,59711.34528,36.3452778,-17.86328871,0.040811883,0.033
2459711.846,r,0.000240659,-7.19E-06,1.82E-16,-5.43E-18,17.94656006,0.032909539,17.94656006,2022 5 12,6300,4.57E+38,-1.36E+37,59711.34623,36.3462269,-17.86017352,0.032909539,0.033
2459711.866,r,0.000226038,-7.19E-06,1.71E-16,-5.43E-18,18.01461172,0.035097816,18.01461172,2022 5 12,6300,4.29E+38,-1.37E+37,59711.36644,36.3664352,-17.79212187,0.035097816,0.033
2459711.869,r,0.000237521,-6.73E-06,1.80E-16,-5.09E-18,17.96081063,0.031204915,17.96081063,2022 5 12,6300,4.51E+38,-1.28E+37,59711.36881,36.3688079,-17.84592295,0.031204915,0.033
2459712.783,g,0.000191528,-7.48E-06,2.49E-16,-9.74E-18,18.19448407,0.04323558,18.19448407,2022 5 13,4800,6.27E+38,-2.45E+37,59712.28277,37.2827662,-17.61224952,0.04323558,0.033
2459712.804,i,0.000217924,-7.61E-06,1.07E-16,-3.75E-18,18.05430407,0.038596457,18.05430407,2022 5 13,7800,2.70E+38,-9.43E+36,59712.30366,37.3036574,-17.75242951,0.038596457,0.033
2459712.805,i,0.000240081,-1.10E-05,1.18E-16,-5.42E-18,17.94917199,0.050917348,17.94917199,2022 5 13,7800,2.97E+38,-1.36E+37,59712.30509,37.3050926,-17.85756159,0.050917348,0.033
2459712.841,r,0.000240992,-8.43E-06,1.82E-16,-6.37E-18,17.94505907,0.038665031,17.94505907,2022 5 13,6300,4.58E+38,-1.60E+37,59712.34074,37.3407407,-17.86167451,0.038665031,0.033
2459713.766,r,0.00023763,-7.64E-06,1.80E-16,-5.78E-18,17.96031042,0.035503487,17.96031042,2022 5 14,6300,4.51E+38,-1.45E+37,59713.26612,38.2661227,-17.84642317,0.035503487,0.033
2459713.768,r,0.00024581,-7.78E-06,1.86E-16,-5.88E-18,17.92356612,0.034911932,17.92356612,2022 5 14,6300,4.67E+38,-1.48E+37,59713.26847,38.2684722,-17.88316746,0.034911932,0.033
2459713.769,r,0.000275521,-6.21E-06,2.08E-16,-4.69E-18,17.79967692,0.024742531,17.79967692,2022 5 14,6300,5.23E+38,-1.18E+37,59713.26942,38.2694213,-18.00705667,0.024742531,0.033
2459714.841,r,0.000234472,-7.70E-06,1.77E-16,-5.82E-18,17.97484039,0.0362775,17.97484039,2022 5 15,6300,4.45E+38,-1.46E+37,59714.34108,39.3410764,-17.8318932,0.0362775,0.033
2459715.771,g,0.000180912,-1.08E-05,2.36E-16,-1.41E-17,18.25639759,0.066836488,18.25639759,2022 5 16,4800,5.92E+38,-3.53E+37,59715.27078,40.2707755,-17.550336,0.066836488,0.033
2459715.781,g,0.000165393,-7.25E-06,2.15E-16,-9.44E-18,18.35377179,0.048688464,18.35377179,2022 5 16,4800,5.41E+38,-2.37E+37,59715.28131,40.2813079,-17.45296179,0.048688464,0.033
2459717.718,r,0.000244893,-5.08E-06,1.85E-16,-3.84E-18,17.92762454,0.02277898,17.92762454,2022 5 18,6300,4.65E+38,-9.65E+36,59717.21845,42.2184491,-17.87910904,0.02277898,0.033
2459717.719,r,0.000245812,-4.15E-06,1.86E-16,-3.14E-18,17.92355963,0.018484987,17.92355963,2022 5 18,6300,4.67E+38,-7.88E+36,59717.21894,42.2189352,-17.88317396,0.018484987,0.033
2459717.719,r,0.000241278,-5.46E-06,1.82E-16,-4.13E-18,17.94377353,0.024855739,17.94377353,2022 5 18,6300,4.58E+38,-1.04E+37,59717.2194,42.2193981,-17.86296006,0.024855739,0.033
2459717.861,i,0.000235013,-1.05E-05,1.16E-16,-5.17E-18,17.97233697,0.049551398,17.97233697,2022 5 18,7800,2.91E+38,-1.30E+37,59717.36093,42.3609259,-17.83439662,0.049551398,0.033
2459717.869,i,0.000208447,-8.24E-06,1.03E-16,-4.06E-18,18.10257539,0.04378435,18.10257539,2022 5 18,7800,2.58E+38,-1.02E+37,59717.36861,42.3686111,-17.70415819,0.04378435,0.033
2459718.723,r,0.000224191,-4.25E-06,1.69E-16,-3.21E-18,18.02352244,0.020758487,18.02352244,2022 5 19,6300,4.26E+38,-8.06E+36,59718.22343,43.2234259,-17.78321115,0.020758487,0.033
2459718.724,r,0.000224859,-3.84E-06,1.70E-16,-2.90E-18,18.0202905,0.018710798,18.0202905,2022 5 19,6300,4.27E+38,-7.30E+36,59718.2239,43.2239005,-17.78644309,0.018710798,0.033
2459718.759,r,0.000227812,-4.02E-06,1.72E-16,-3.03E-18,18.00612176,0.019305919,18.00612176,2022 5 19,6300,4.33E+38,-7.62E+36,59718.25867,43.258669,-17.80061183,0.019305919,0.033
2459718.762,r,0.000215579,-5.57E-06,1.63E-16,-4.21E-18,18.06605089,0.028412578,18.06605089,2022 5 19,6300,4.09E+38,-1.06E+37,59718.2615,43.2615046,-17.74068269,0.028412578,0.033
2459719.764,r,0.000203188,-4.22E-06,1.54E-16,-3.19E-18,18.13031998,0.022812691,18.13031998,2022 5 20,6300,3.86E+38,-8.02E+36,59719.26362,44.2636227,-17.67641361,0.022812691,0.033
2459719.765,r,0.000207759,-3.95E-06,1.57E-16,-2.99E-18,18.10616554,0.020843026,18.10616554,2022 5 20,6300,3.95E+38,-7.50E+36,59719.26457,44.2645718,-17.70056805,0.020843026,0.033
2459719.784,r,0.000218333,-3.54E-06,1.65E-16,-2.68E-18,18.05226962,0.017767601,18.05226962,2022 5 20,6300,4.15E+38,-6.73E+36,59719.28396,44.2839583,-17.75446396,0.017767601,0.033
2459719.785,r,0.000209636,-3.68E-06,1.58E-16,-2.78E-18,18.0963989,0.01920685,18.0963989,2022 5 20,6300,3.98E+38,-6.98E+36,59719.2849,44.2848958,-17.71033468,0.01920685,0.033
2459719.802,r,0.000214683,-3.83E-06,1.62E-16,-2.90E-18,18.07057008,0.019562548,18.07057008,2022 5 20,6300,4.08E+38,-7.28E+36,59719.30216,44.3021644,-17.73616351,0.019562548,0.033
2459719.804,r,0.000217521,-3.84E-06,1.64E-16,-2.90E-18,18.05631451,0.019321493,18.05631451,2022 5 20,6300,4.13E+38,-7.29E+36,59719.3036,44.3035995,-17.75041907,0.019321493,0.033
2459719.805,r,0.000198606,-4.24E-06,1.50E-16,-3.21E-18,18.15508557,0.023452823,18.15508557,2022 5 20,6300,3.77E+38,-8.06E+36,59719.30503,44.3050347,-17.65164801,0.023452823,0.033
2459719.806,r,0.000194731,-4.83E-06,1.47E-16,-3.65E-18,18.17647664,0.027256903,18.17647664,2022 5 20,6300,3.70E+38,-9.17E+36,59719.30598,44.3059838,-17.63025694,0.027256903,0.033
