jd,mjd,mag,emag,corrmag,filter,UTC,redshift
2460085.936,60085.4359,16.6254,0.1133,18.4946,uvot::v,2023-05-21T10:27:41Z,0.025
2460085.937,60085.437,20.7829,0.2166,21.6245,uvot::uvm2,2023-05-21T10:29:16Z,0.025
2460086.911,60086.41072,16.64520098,0.031713001,18.7339934,ZTF_r,2023-05-22T09:51:26Z,0.025
2460086.911,60086.41072,16.64515513,0.031713113,18.73394373,ZTF_r,2023-05-22T09:51:26Z,0.025
2460086.934,60086.43384,16.96481544,0.033151262,19.00545108,ZTF_g,2023-05-22T10:24:44Z,0.025
2460086.934,60086.43384,16.96479994,0.033151001,19.00544412,ZTF_g,2023-05-22T10:24:44Z,0.025
2460087.9,60087.40041,16.62873619,0.020999114,19.16511955,sdssr,2023-05-23T09:36:35Z,0.025
2460087.922,60087.42232,17.01712501,0.023985469,19.40914028,sdssg,2023-05-23T10:08:08Z,0.025
2460087.924,60087.42396,16.66950751,0.012704106,19.751533,sdssr,2023-05-23T10:10:30Z,0.025
2460087.926,60087.42559,16.67875638,0.022013369,19.16392587,sdssi,2023-05-23T10:12:51Z,0.025
2460088.844,60088.34383,16.67232352,0.020363746,19.24206512,ZTF_i,2023-05-24T08:15:06Z,0.025
2460088.844,60088.34383,16.67230087,0.020364,19.24202896,ZTF_i,2023-05-24T08:15:06Z,0.025
2460089.925,60089.42459,17.0807095,0.042036522,18.86352835,ZTF_g,2023-05-25T10:11:24Z,0.025
2460089.925,60089.42459,17.08069995,0.042036999,18.86350648,ZTF_g,2023-05-25T10:11:24Z,0.025
2460091.89,60091.39009,16.77822124,0.034829997,18.76522345,ZTF_r,2023-05-27T09:21:44Z,0.025
2460091.89,60091.39009,16.7782004,0.03483,18.7652025,ZTF_r,2023-05-27T09:21:44Z,0.025
2460091.935,60091.43522,17.1120073,0.045577995,18.80700503,ZTF_g,2023-05-27T10:26:42Z,0.025
2460091.935,60091.43522,17.11199951,0.045577999,18.80699716,ZTF_g,2023-05-27T10:26:42Z,0.025
2460091.946,60091.44649,16.77169995,0.022948001,19.21172361,ZTF_i,2023-05-27T10:42:57Z,0.025
2460091.946,60091.44649,16.77165049,0.022948103,19.2116693,ZTF_i,2023-05-27T10:42:57Z,0.025
2460092.781,60092.28104,16.79230166,0.03558008,18.75617015,ZTF_r,2023-05-28T06:44:42Z,0.025
2460092.781,60092.28104,16.79229928,0.035580002,18.75617016,ZTF_r,2023-05-28T06:44:42Z,0.025
2460092.804,60092.30441,17.1149464,0.039773729,18.95784142,ZTF_g,2023-05-28T07:18:20Z,0.025
2460092.804,60092.30441,17.11490108,0.039774001,18.95778868,ZTF_g,2023-05-28T07:18:20Z,0.025
2460093.871,60093.37112,16.77254867,0.035656661,18.73408279,ZTF_r,2023-05-29T08:54:25Z,0.025
2460093.871,60093.37112,16.77249927,0.035657,18.73402306,ZTF_r,2023-05-29T08:54:25Z,0.025
2460093.872,60093.37159,16.76490019,0.035041999,18.74531379,ZTF_r,2023-05-29T08:55:04Z,0.025
2460093.872,60093.37159,16.7648949,0.035042331,18.74529824,ZTF_r,2023-05-29T08:55:04Z,0.025
2460094.803,60094.303,16.83700036,0.024205999,19.2190786,ZTF_i,2023-05-30T07:16:19Z,0.025
2460094.803,60094.303,16.8369849,0.024206495,19.21904092,ZTF_i,2023-05-30T07:16:19Z,0.025
2460097.782,60097.28245,16.87990025,0.032885,18.92929142,ZTF_r,2023-06-02T06:46:43Z,0.025
